candles

open;close;high;low;value;volume;begin;end
1479.65;1421.21;1534.72;1380.09;9866146202.297201;0;2010-08-01 00:00:00;2010-08-31 00:00:00
1339.48;1479.73;1510.37;1285.48;11587319366.2471;0;2010-07-01 00:00:00;2010-07-31 00:00:00
1384.47;1339.35;1458.9;1308.75;10426257036.928997;0;2010-06-01 00:00:00;2010-06-30 00:00:00
1572.84;1384.59;1581.32;1224.73;11085879887.044401;0;2010-05-01 00:00:00;2010-05-31 00:00:00
1572.48;1572.84;1685.6;1555.24;8621628947.575401;0;2010-04-01 00:00:00;2010-04-30 00:00:00
1408.57;1572.48;1584.72;1402.9;8374769932.935901;0;2010-03-01 00:00:00;2010-03-31 00:00:00
1473.81;1410.85;1530;1355.95;7285494558.922001;0;2010-02-01 00:00:00;2010-02-28 00:00:00
1444.7;1473.81;1590.02;1424.88;6957449235.215599;0;2010-01-01 00:00:00;2010-01-31 00:00:00
1147.29;1151.05;1194.92;1147.29;5143324178;0;2017-01-01 00:00:00;2017-01-16 00:00:00
1036.63;1152.33;1170.51;1036.63;13129572699;0;2016-12-01 00:00:00;2016-12-30 00:00:00
989.91;1029.05;1034.53;956.36;11294489015;0;2016-11-01 00:00:00;2016-11-30 00:00:00
993.19;988.74;1018.98;977.51;7284194948;0;2016-10-01 00:00:00;2016-10-31 00:00:00
952.93;990.88;1017.32;944.88;9243779535;0;2016-09-01 00:00:00;2016-09-30 00:00:00
930.38;950.25;987.07;898.05;8491984671;0;2016-08-01 00:00:00;2016-08-31 00:00:00
931.2;927.57;975.21;910.74;9335311527;0;2016-07-01 00:00:00;2016-07-29 00:00:00
897;930.77;967.58;874.88;10219037184;0;2016-06-01 00:00:00;2016-06-30 00:00:00
941.8;904.33;949.36;873.58;9564047510;0;2016-05-01 00:00:00;2016-05-31 00:00:00
874.41;951.11;968.03;839.62;13298996648;0;2016-04-01 00:00:00;2016-04-29 00:00:00
771.72;876.2;894.76;770.87;11296818950;0;2016-03-01 00:00:00;2016-03-31 00:00:00
757.19;768.8;772.08;725.4;1934995600;0;2016-02-01 00:00:00;2016-02-29 00:00:00


